title,start_year,end_year,genre,summary_tvmaze,summary_imdb,rating_tvmaze,rating_imdb,votes,run_time,language,actors,status
Grey's Anatomy,2005,,"Drama, Romance","The doctors of Grey Sloan Memorial Hospital deal with life-or-death consequences on a daily basis -- it's in one another that they find comfort, friendship and, at times, more than friendship. Together they're discovering that neither medicine nor relationships can be defined in black and white. Real life only comes in shades of grey.",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,7.7,7.5,266258,41,English,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",Running
Breaking Bad,2008,2013,"Crime, Drama, Thriller","Breaking Bad follows protagonist Walter White, a chemistry teacher who lives in New Mexico with his wife and teenage son who has cerebral palsy. White is diagnosed with Stage III cancer and given a prognosis of two years left to live. With a new sense of fearlessness based on his medical prognosis, and a desire to secure his family's financial security, White chooses to enter a dangerous world of drugs and crime and ascends to power in this world. The series explores how a fatal diagnosis such as White's releases a typical man from the daily concerns and constraints of normal society and follows his transformation from mild family man to a kingpin of the drug trade.",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,9.2,9.4,1552311,49,English,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",Ended
The Good Doctor,2017,2024,Drama,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Alone in the world and unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",7.6,8.1,70871,41,English,"Freddie Highmore, Hill Harper, Richard Schiff, Antonia Thomas",Ended
Atypical,2017,2021,"Comedy, Drama","Atypical is a coming of age story that follows Sam, an 18-year-old on the autistic spectrum as he searches for love and independence. While Sam is on his funny yet emotional journey of self-discovery, the rest of his family must grapple with change in their own lives as they all struggle with the central theme: what does it really mean to be normal?","Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.",7.9,8.3,71544,30,English,"Jennifer Jason Leigh, Keir Gilchrist, Brigette Lundy-Paine, Michael Rapaport",Ended
Stranger Things,2016,,"Drama, Fantasy, Horror","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",8.5,8.7,885856,51,English,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",Running
Friends,1994,2004,"Comedy, Romance","Six young (20-something) people from New York City (Manhattan), on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.This average group of buddies goes through massive mayhem, family trouble, past and future romances, fights, laughs, tears and surprises as they learn what it really means to be a friend.",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,8.5,8.9,880918,22,English,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",Ended
The Flash,2014,2023,"Action, Adventure, Drama","After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash!","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",7.5,7.6,320264,43,English,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes",Ended
Peaky Blinders,2013,2022,"Crime, Drama",An epic gangster drama set in the lawless streets of 1920s Birmingham.,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",8.5,8.8,393414,60,English,"Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",Ended
He-Man and the Masters of the Universe,2021,,"Animation, Action, Adventure","On the planet of Eternia, a young lost prince discovers the powers of Grayskull and transforms into He-Man, Master of the Universe! The classic battle between He-Man and evil Skeletor rages to new heights as both hero and villain forge new and mighty teams. A new generation of heroes fighting for the fate of us all. In the end, who will become Master of the Universe?","Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",6.1,,,26,English,,To Be Determined
Vikings,2013,2020,"Action, Adventure, Drama","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",8.6,8.5,459913,44,English,"Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",Ended
Better Call Saul,2015,2022,"Crime, Drama","Better Call Saul is the prequel to the award-winning series Breaking Bad, set six years before Saul Goodman became Walter White's lawyer. When we meet him, the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and often against, Jimmy is ""fixer"" Mike Ehrmantraut, a beloved character introduced in Breaking Bad. The series will track Jimmy's transformation into Saul Goodman, the man who puts ""criminal"" in ""criminal lawyer.","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",8.6,8.8,347857,46,English,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian",Ended
Supernatural,2005,2020,"Drama, Fantasy, Horror","This haunting series follows the Winchester brothers as they crisscross the lonely and mysterious back roads of the country in their '67 Chevy Impala, hunting down every evil supernatural force they encounter along the way.","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",8.3,8.4,404273,44,English,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins",Ended
The Blacklist,2013,2023,"Crime, Drama, Mystery",The Blacklist is a crime drama involving a former government agent who turned into a high-profile criminal turning himself in to the FBI offering to help catch criminals.,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",8.1,8.0,213522,43,English,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold",Ended
Animal Kingdom,2016,2022,"Crime, Drama",Animal Kingdom is an adrenaline-charged drama starring Ellen Barkin as the matriarch of a Southern California family whose excessive lifestyle is fueled by their criminal activities.,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",7.8,8.2,26926,60,English,"Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole",Ended
Brooklyn Nine-Nine,2013,2022,"Comedy, Crime","Brooklyn Nine-Nine is an ensemble comedy about a talented-but-carefree detective, a by-the-book police captain and their precinct colleagues. While based in the workplace, Brooklyn Nine-Nine is not really about the job – it's about the men and women behind the badge.","Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",8.1,8.4,248583,22,English,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero",Ended
NCIS: Naval Criminal Investigative Service,2003,,"Action, Crime, Drama",,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",,7.7,125619,60,,"Mark Harmon, David McCallum, Sean Murray, Pauley Perrette",Running
Kingdom,2019,2021,"Action, Drama, History","In a kingdom defeated by corruption and famine, a mysterious rumour of the king's death spreads as does a strange plague that renders the infected immune to death and hungry for flesh. The crown prince, fallen victim to a conspiracy, sets out on a journey to unveil the evil behind it all and save his people.","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",7.9,8.4,34906,45,Korean,"Ju Ji-Hoon, Bae Doona, Kim Sungkyu, Hye-jun Kim",Ended
Modern Family,2009,2020,"Comedy, Drama, Romance","Modern Family revolves around three different types of families (nuclear, step- and same-sex) living in the Los Angeles area, who are interrelated through Jay Pritchett and his children, Claire Dunphy (née Pritchett) and Mitchell Pritchett. Patriarch Jay is remarried to a much younger woman, Gloria Delgado Pritchett (née Ramirez), a passionate Colombian with whom he has an infant son, Fulgencio (Joe) Pritchett, and a son from Gloria's previous marriage, Manny Delgado.Jay's daughter Claire was a homemaker, but has returned to the business world. She is now the chief executive of her father's previous business, Pritchett's Closets and Blinds. She is married to Phil Dunphy, a realtor and self-professed ""cool dad"". They have three children: Haley Dunphy, a stereotypical ditzy teenage girl; Alex Dunphy, a nerdy, smart middle child; and Luke Dunphy, the off-beat only son.Jay's lawyer son Mitchell and his husband Cameron Tucker have one daughter, Lily Tucker-Pritchett. As the name suggests, this family represents a modern-day family, and episodes are comically based on situations which many families encounter in real life.",Three different but related families face trials and tribulations in their own uniquely comedic ways.,7.7,8.4,378030,22,English,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell",Ended
Titans,2018,2023,"Action, Adventure, Crime","Titans follows young heroes from across the DC Universe as they come of age and find belonging in a gritty take on the classic Teen Titans franchise. Dick Grayson and Rachel Roth, a special young girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and loveable Beast Boy. Together they become a surrogate family and team of heroes.",A team of young superheroes combat evil and other perils.,7.7,7.7,73656,45,English,"Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter",Ended
The Witcher,2019,,"Action, Adventure, Fantasy","Based on the best-selling fantasy series, The Witcher is an epic tale of fate and family. Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts. But when destiny hurtles him toward a powerful sorceress, and a young princess with a dangerous secret, the three must learn to navigate the increasingly volatile Continent together.","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",8.0,8.2,336484,60,English,"Henry Cavill, Anna Shaffer, Freya Allan, Adjoa Andoh",Running
Downton Abbey,2010,2015,"Drama, Romance","The Downton Abbey estate stands a splendid example of confidence and mettle, its family enduring for generations and its staff a well-oiled machine of propriety. But change is afoot at Downton--change far surpassing the new electric lights and telephone. A crisis of inheritance threatens to displace the resident Crawley family, in spite of the best efforts of the noble and compassionate Earl, Robert Crawley; his American heiress wife, Cora his comically implacable, opinionated mother, Violet and his beautiful, eldest daughter, Mary, intent on charting her own course. Reluctantly, the family is forced to welcome its heir apparent, the self-made and proudly modern Matthew Crawley himself none too happy about the new arrangements. As Matthew's bristly relationship with Mary begins to crackle with electricity, hope for the future of Downton's dynasty takes shape. But when petty jealousies and ambitions grow among the family and the staff, scheming and secrets--both delicious and dangerous--threaten to derail the scramble to preserve Downton Abbey. Downton Abbey offers a spot-on portrait of a vanishing way of life.",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,8.8,8.7,171804,58,English,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle",Ended
Shingeki no kyojin,2013,2022,"Animation, Action, Adventure","Known in Japan as Shingeki no Kyojin, many years ago, the last remnants of humanity were forced to retreat behind the towering walls of a fortified city to escape the massive, man-eating Titans that roamed the land outside their fortress. Only the heroic members of the Scouting Legion dared to stray beyond the safety of the walls – but even those brave warriors seldom returned alive. Those within the city clung to the illusion of a peaceful existence until the day that dream was shattered, and their slim chance at survival was reduced to one horrifying choice: kill – or be devoured!","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",8.9,9.0,242582,24,Japanese,"Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa",Ended
Suits,2011,2019,"Comedy, Drama","Suits delves into the fast-paced, high-stakes world of a top Manhattan corporate law firm where hotshot associate Harvey Specter makes a risky move by hiring Mike Ross a brilliant but unmotivated college dropout, as his associate. As he becomes enmeshed in this unfamiliar world, Mike relies heavily on the firm's best paralegal Rachel Zane and Harvey's no-nonsense assistant Donna Paulsen to help him serve justice. With a photographic memory and the street smarts of a hustler, Mike proves to be a legal prodigy despite the absence of bonafide legal credentials.","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",8.1,8.4,374263,44,English,"Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty",Ended
La casa de papel,2017,2021,"Action, Crime, Mystery","A group of very peculiar robbers have assaulted the Factory of Moneda and Timbre to carry out the most perfect robbery in the history of Spain and taking home 2,400 million euros.",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,8.0,8.3,341858,70,Spanish,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",Ended
Schitt's Creek,2015,2020,Comedy,"Schitt's Creek centers on a formerly filthy rich video store magnate Johnny Rose, his soap star wife Moira, and their two kids, über-hipster son David and socialite daughter Alexis, who suddenly find themselves broke. They are forced to live in Schitt's Creek, a small depressing town they once bought as a joke.","When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",7.7,8.5,90728,22,English,"Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy",Ended
Outlander,2014,,"Drama, Fantasy, Romance","Outlander follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.The Outlander series, adapted from Diana Gabaldon's international best-selling books, spans the genres of romance, science fiction, history and adventure into one epic tale.",An English combat nurse from 1945 is mysteriously swept back in time to 1743.,7.9,8.4,134991,64,English,"Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton",Running
The Last Kingdom,2015,2023,"Action, Drama, History","The Last Kingdom is a show of heroic deeds and epic battles but with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.","As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",8.3,8.4,94650,60,English,"Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady",Ended
Black Mirror,2011,,"Drama, Sci-Fi, Thriller","Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone--a black mirror of our 21st Century existence. Black Mirror is a contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world.","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",8.4,8.8,469407,60,English,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",To Be Determined
Ozark,2017,2022,"Crime, Drama, Thriller","In this dark, dangerous series, a family struggles after moving to an Ozarks resort community when they're thrust into a world of dirty money.","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",8.1,8.4,206090,60,English,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner",Ended
The Crown,2016,2023,"Biography, Drama, History","The Crown tells the inside story of two of the most famous addresses in the world -- Buckingham Palace and 10 Downing Street - and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,8.4,8.6,169517,58,English,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",Ended
Sweet Tooth,2021,2024,"Action, Adventure, Drama","On an epic adventure across a postapocalyptic world, a lovable boy who's part human and part deer searches for family and home with a gruff protector.",A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,7.6,7.9,37142,44,English,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen",Ended
Fargo,2014,,"Crime, Drama, Thriller","Fargo is a seasonal anthology crime drama with some dark comical elements, inspired by the film Fargo written by the Coen brothers. Each season follows a new case and new characters, all entrenched in the trademark humor, murder and ""Minnesota nice"" that has made the film an enduring classic.","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",8.6,8.9,341221,53,English,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",To Be Determined
How I Met Your Mother,2005,2014,"Comedy, Romance","How I Met Your Mother is a comedy about Ted and how he fell in love. It all starts when Ted's best friend, Marshall drops the bombshell that he's going to propose to his long-time girlfriend, Lilya kindergarten teacher. At that moment, Ted realizes that he had better get a move on if he too hopes to find true love. Helping him in his quest is Barney a friend with endless, sometimes outrageous opinions, a penchant for suits and a foolproof way to meet women. When Ted meets Robin he's sure it's love at first sight, but destiny may have something else in store.",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,7.9,8.3,624036,22,English,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",Ended
Community,2009,2015,Comedy,"Community is a smart, exuberant comedy that is consistently ranked as one of the most inventive and original half-hours on television. This ensemble comedy centers around a tight-knit group of friends who all met at what is possibly the world's worst educational institution - Greendale Community College.",A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,8.3,8.5,231013,22,English,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",Ended
Sons of Anarchy,2008,2014,"Crime, Drama, Thriller","Sons of Anarchy is an American television drama series created by Kurt Sutter, about the lives of a close-knit outlaw motorcycle club operating in Charming, a fictional town in California's Central Valley. The show centers on protagonist Jackson ""Jax"" Teller (Charlie Hunnam), initially the vice president of the club, who begins questioning the club and himself.",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,8.3,8.5,270445,45,English,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",Ended
StartUp,2016,2018,"Crime, Thriller","The series explores what happens when a brilliant, yet controversial tech idea gets incubated on the wrong side of the tracks by three strangers who don't necessarily fit the mold of ""tech entrepreneurs."" Set amongst the unconstrained, yet opportunist streets of Miami, StartUp weaves a complex and exciting narrative, featuring the high-stakes struggle of what one will do to reach ultimate success. Forced to fund a tech company with dirty money from unsuspecting places while forming ties with a dangerous, Haitian gang, the fight to build a business pales in comparison to the fight to stay alive, especially when there's a vehement FBI agent who wields the power to make or break those he comes in contact with—and not always for the right reasons.","A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.",7.8,7.9,22971,44,English,"Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza",Ended
The Vampire Diaries,2009,2017,"Drama, Fantasy, Horror",The Vampire Diaries is a supernatural drama/romance based around Elena Gilbert who falls in love with a 163 year old vampire.Based on a novel series by L.J. Smith.,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",7.9,7.7,293434,43,English,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham",Ended
How to Sell Drugs Online (Fast),2019,2025,"Comedy, Crime, Drama","To win back his ex-girlfriend, a nerdy teen starts selling drugs online out of his bedroom -- and becomes one of Europe's biggest dealers.","To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.",7.2,7.9,23960,30,German,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung",Ended
Good Girls,2018,2021,"Comedy, Crime, Drama","Good Girls follows three ""good girl"" suburban wives and mothers who suddenly find themselves in desperate circumstances and decide to stop playing it safe, and risk everything to take their power back.",Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,7.2,7.8,38618,43,English,"Christina Hendricks, Retta, Mae Whitman, Reno Wilson",Ended
13 Reasons Why,2017,2020,"Drama, Mystery, Thriller","13 Reasons Why is based on the New York Times bestselling YA book by Jay Asher, was created by Pulitzer Prize and Tony Award winner Brian Yorkey, who also wrote the pilot. 13 Reasons Why is the story of Hannah Baker, a high schooler who commits suicide. Clay receives a box of tapes from Hannah, his late classmate and crush after she kills herself. On the tapes, which get passed along to other students based on Hannah's instructions, Hannah reveals the 13 reasons why she took her own life.","Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",7.2,7.6,266386,60,English,"Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe",Ended
Legends of Tomorrow,2016,2022,"Action, Adventure, Drama","When heroes alone are not enough... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat - one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?","Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",7.0,6.8,95897,42,English,"Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano",Ended
Star Trek: The Next Generation,1987,1994,"Action, Adventure, Mystery","Star Trek: The Next Generation (TNG) focuses on the 24th century adventures of Captain Jean-Luc Picard aboard the U.S.S. Enterprise (NCC-1701-D). This incarnation of the famous starship is much larger than the one captained by James T. Kirk a century earlier, and, accordingly, it carries a larger crew complement: 1,012 men, women…and, surprisingly, children. This era's Starfleet Command believes that men and women are more likely to sign up for long-term exploratory missions if they think of their ship as home. Thus, Picard's crew enjoys many of the comforts they'd have otherwise left behind, including a wide variety of recreational opportunities, ""replicated"" food dishes to suit every palate, and quarters large enough to share with spouses and offspring. There are schools for the children and a bar (stocked with synthetic alcohol, or synthehol) where the adults can unwind. However, the ongoing mission—no longer limited to a mere five years—remains virtually the same as it was during Kirk's time: to seek out new life and new civilizations, and to boldly go where no one has gone before.","Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",8.7,8.6,106181,44,English,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton",Ended
