title,start_year,end_year,genre,rating,votes,plot_summary,run_time,gross,production_type,actors,director
The Flash,2014,Ongoing,"['Action', 'Adventure', 'Drama']",7.6,320264,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",43,,Series,"['Grant Gustin', 'Candice Patton', 'Danielle Panabaker', 'Carlos Valdes']",
Peaky Blinders,2013,Ongoing,"['Crime', 'Drama']",8.8,393414,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",60,,Series,"['Cillian Murphy', 'Paul Anderson', 'Helen McCrory', 'Sophie Rundle']",
He-Man and the Masters of the Universe,2021,Ongoing,"['Animation', 'Action', 'Adventure']",,,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",,,Series,,
Chernobyl,2021,,"['Drama', 'History', 'Romance']",5.0,4681,A story about a heroic fireman who worked as one of Chernobyl liquidators.,136,,,"['Danila Kozlovskiy', 'Oksana Akinshina', 'Filipp Avdeev', 'Ravshana Kurkova']",['Danila Kozlovskiy']
Vikings,2013,2020,"['Action', 'Adventure', 'Drama']",8.5,459913,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",44,,Series,"['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",
Better Call Saul,2015,Ongoing,"['Crime', 'Drama']",8.8,347857,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",46,,Series,"['Bob Odenkirk', 'Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']",
Supernatural,2005,2020,"['Drama', 'Fantasy', 'Horror']",8.4,404273,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",44,,Series,"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']",
The Blacklist,2013,Ongoing,"['Crime', 'Drama', 'Mystery']",8.0,213522,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",43,,Series,"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']",
Fear Street: 1666,2021,,"['Horror', 'Mystery']",6.7,27447,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,114,,,"['Kiana Madeira', 'Ashley Zukerman', 'Gillian Jacobs', 'Olivia Scott Welch']",['Leigh Janiak']
Animal Kingdom,2016,Ongoing,"['Crime', 'Drama']",8.2,26926,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",60,,Series,"['Shawn Hatosy', 'Ben Robson', 'Jake Weary', 'Finn Cole']",
Brooklyn Nine-Nine,2013,2022,"['Comedy', 'Crime']",8.4,248583,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",22,,Series,"['Andy Samberg', 'Stephanie Beatriz', 'Terry Crews', 'Melissa Fumero']",
NCIS: Naval Criminal Investigative Service,2003,Ongoing,"['Action', 'Crime', 'Drama']",7.7,125619,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",60,,Series,"['Mark Harmon', 'David McCallum', 'Sean Murray', 'Pauley Perrette']",
Kingdom,2019,Ongoing,"['Action', 'Drama', 'History']",8.4,34906,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",45,,Series,"['Ju Ji-Hoon', 'Bae Doona', 'Kim Sungkyu', 'Hye-jun Kim']",
Modern Family,2009,2020,"['Comedy', 'Drama', 'Romance']",8.4,378030,Three different but related families face trials and tribulations in their own uniquely comedic ways.,22,,Series,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell']",
Titans,2018,Ongoing,"['Action', 'Adventure', 'Crime']",7.7,73656,A team of young superheroes combat evil and other perils.,45,,Series,"['Brenton Thwaites', 'Teagan Croft', 'Anna Diop', 'Ryan Potter']",
The Witcher,2019,Ongoing,"['Action', 'Adventure', 'Fantasy']",8.2,336484,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",60,,Series,"['Henry Cavill', 'Anna Shaffer', 'Freya Allan', 'Adjoa Andoh']",
Downton Abbey,2010,2015,"['Drama', 'Romance']",8.7,171804,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,58,,Series,"['Hugh Bonneville', 'Phyllis Logan', 'Elizabeth McGovern', 'Brendan Coyle']",
Shingeki no kyojin,2013,2022,"['Animation', 'Action', 'Adventure']",9.0,242582,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,,Series,"['Yûki Kaji', 'Marina Inoue', 'Josh Grelle', 'Yui Ishikawa']",
Suits,2011,2019,"['Comedy', 'Drama']",8.4,374263,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",44,,Series,"['Gabriel Macht', 'Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty']",
La casa de papel,2017,2021,"['Action', 'Crime', 'Mystery']",8.3,341858,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,70,,Series,"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",
Schitt's Creek,2015,2020,['Comedy'],8.5,90728,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",22,,Series,"['Eugene Levy', ""Catherine O'Hara"", 'Dan Levy', 'Annie Murphy']",
Outlander,2014,Ongoing,"['Drama', 'Fantasy', 'Romance']",8.4,134991,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,64,,Series,"['Caitriona Balfe', 'Sam Heughan', 'Duncan Lacroix', 'Sophie Skelton']",
The Last Kingdom,2015,Ongoing,"['Action', 'Drama', 'History']",8.4,94650,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",60,,Series,"['Alexander Dreymon', 'Eliza Butterworth', 'Arnas Fedaravicius', 'Millie Brady']",
Black Mirror,2011,Ongoing,"['Drama', 'Sci-Fi', 'Thriller']",8.8,469407,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",60,,Series,"['Daniel Lapaine', 'Hannah John-Kamen', 'Michaela Coel', 'Beatrice Robertson-Jones']",
Ozark,2017,Ongoing,"['Crime', 'Drama', 'Thriller']",8.4,206090,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",60,,Series,"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",
The Crown,2016,Ongoing,"['Biography', 'Drama', 'History']",8.6,169517,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,58,,Series,"['Claire Foy', 'Olivia Colman', 'Imelda Staunton', 'Matt Smith']",
Sweet Tooth,2021,Ongoing,"['Action', 'Adventure', 'Drama']",7.9,37142,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,,,Series,"['Nonso Anozie', 'Christian Convery', 'Adeel Akhtar', 'Stefania LaVie Owen']",
Army of the Dead,2021,,"['Action', 'Crime', 'Horror']",5.8,132378,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",148,,,"['Dave Bautista', 'Ella Purnell', 'Ana de la Reguera', 'Omari Hardwick']",['Zack Snyder']
Fargo,2014,Ongoing,"['Crime', 'Drama', 'Thriller']",8.9,341221,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53,,Series,"['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman', 'Colin Hanks']",
How I Met Your Mother,2005,2014,"['Comedy', 'Romance']",8.3,624036,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,22,,Series,"['Josh Radnor', 'Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris']",
Community,2009,2015,['Comedy'],8.5,231013,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,,Series,"['Joel McHale', 'Danny Pudi', 'Donald Glover', 'Chevy Chase']",
Sons of Anarchy,2008,2014,"['Crime', 'Drama', 'Thriller']",8.5,270445,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,,Series,"['Charlie Hunnam', 'Katey Sagal', 'Mark Boone Junior', 'Kim Coates']",
StartUp,2016,2018,"['Crime', 'Thriller']",7.9,22971,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.",44,,Series,"['Adam Brody', 'Edi Gathegi', 'Otmara Marrero', 'Kristen Ariza']",
The Vampire Diaries,2009,2017,"['Drama', 'Fantasy', 'Horror']",7.7,293434,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",43,,Series,"['Nina Dobrev', 'Paul Wesley', 'Ian Somerhalder', 'Kat Graham']",
365 dni,2020,,"['Drama', 'Romance']",3.3,63620,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",114,,,"['Anna Maria Sieklucka', 'Michele Morrone', 'Bronislaw Wroclawski', 'Otar Saralidze']","['Barbara Bialowas', 'Tomasz Mandes']"
How to Sell Drugs Online (Fast),2019,Ongoing,"['Comedy', 'Crime', 'Drama']",7.9,23960,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.",30,,Series,"['Maximilian Mundt', 'Danilo Kamperidis', 'Lena Klenke', 'Damian Hardung']",
Good Girls,2018,2021,"['Comedy', 'Crime', 'Drama']",7.8,38618,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,43,,Series,"['Christina Hendricks', 'Retta', 'Mae Whitman', 'Reno Wilson']",
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']",7.6,266386,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",60,,Series,"['Dylan Minnette', 'Katherine Langford', 'Christian Navarro', 'Alisha Boe']",
The Queen's Gambit,2020,,['Drama'],8.6,336801,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",395,,,"['Anya Taylor-Joy', 'Chloe Pirrie', 'Bill Camp', 'Marcin Dorocinski']",
Legends of Tomorrow,2016,Ongoing,"['Action', 'Adventure', 'Drama']",6.8,95897,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",42,,Series,"['Caity Lotz', 'Amy Louise Pemberton', 'Dominic Purcell', 'Nick Zano']",
Star Trek: The Next Generation,1987,1994,"['Action', 'Adventure', 'Mystery']",8.6,106181,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",44,,Series,"['Patrick Stewart', 'Brent Spiner', 'Jonathan Frakes', 'LeVar Burton']",
Le dernier mercenaire,2021,,"['Action', 'Comedy']",5.4,2606,"A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.",110,,,"['Jean-Claude Van Damme', 'Alban Ivanov', 'Samir Decazza', 'Assa Sylla']",['David Charhon']
Resort to Love,2021,,"['Comedy', 'Romance']",5.7,1591,"Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.",101,,,"['Christina Milian', 'Tymberlee Hill', 'Kayne Lee Harrison', 'Ruth Nadler-Nir']",['Steven K. Tsuchida']
Evil,2019,Ongoing,"['Crime', 'Drama', 'Horror']",7.7,15048,"A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.",42,,Series,"['Katja Herbers', 'Mike Colter', 'Aasif Mandvi', 'Maddy Crocco']",
The Expanse,2015,Ongoing,"['Drama', 'Mystery', 'Sci-Fi']",8.5,119644,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.",60,,Series,"['Wes Chatham', 'Dominique Tipper', 'Steven Strait', 'Shohreh Aghdashloo']",
New Amsterdam,2018,Ongoing,['Drama'],8.1,27709,A new medical director breaks the rules to heal the system at America's oldest public hospital.,43,,Series,"['Ryan Eggold', 'Janet Montgomery', 'Freema Agyeman', 'Jocko Sims']",
Line of Duty,2012,Ongoing,"['Crime', 'Drama', 'Mystery']",8.7,46751,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",60,,Series,"['Martin Compston', 'Vicky McClure', 'Adrian Dunbar', 'Craig Parkinson']",
The 100,2014,2020,"['Drama', 'Mystery', 'Sci-Fi']",7.6,226962,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.",43,,Series,"['Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos', 'Isaiah Washington']",
New Girl,2011,2018,['Comedy'],7.7,200421,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",22,,Series,"['Zooey Deschanel', 'Jake Johnson', 'Max Greenfield', 'Hannah Simone']",
Prison Break,2005,2017,"['Action', 'Crime', 'Drama']",8.3,492438,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",44,,Series,"['Dominic Purcell', 'Wentworth Miller', 'Amaury Nolasco', 'Robert Knepper']",
Sex Education,2019,Ongoing,"['Comedy', 'Drama']",8.3,177274,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,45,,Series,"['Asa Butterfield', 'Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey']",
A Classic Horror Story,2021,,"['Drama', 'Horror', 'Mystery']",5.7,8822,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.",95,,,"['Matilda Anna Ingrid Lutz', 'Francesco Russo', 'Peppino Mazzotta', 'Will Merrick']","['Roberto De Feo', 'Paolo Strippoli']"
Feels Like Ishq,2021,Ongoing,"['Comedy', 'Drama', 'Romance']",6.6,848,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,32,,Series,"['Jojo Singh', 'Mihir Ahuja', 'Kajol Chugh', 'Sumali Khaniwale']",
Young Royals,2021,Ongoing,"['Drama', 'Romance']",8.6,16954,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",50,,Series,"['Edvin Ryding', 'Omar Rudberg', 'Frida Argento', 'Samuel Astor']",
Shadow and Bone,2021,Ongoing,"['Action', 'Adventure', 'Drama']",7.7,60283,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,,,Series,"['Jessie Mei Li', 'Ben Barnes', 'Archie Renaux', 'Freddy Carter']",
The Hitman's Bodyguard,2017,,"['Action', 'Comedy', 'Crime']",6.9,205979,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.",118,75.47,,"['Ryan Reynolds', 'Samuel L. Jackson', 'Gary Oldman', 'Elodie Yung']",['Patrick Hughes']
Mad Men,2007,2015,['Drama'],8.6,216203,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",47,,Series,"['Jon Hamm', 'Elisabeth Moss', 'Vincent Kartheiser', 'January Jones']",
Élite,2018,Ongoing,"['Crime', 'Drama', 'Thriller']",7.5,59730,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",60,,Series,"['Itzan Escamilla', 'Omar Ayuso', 'Miguel Bernardeau', 'Arón Piper']",
Gilmore Girls,2000,2007,"['Comedy', 'Drama']",8.1,106650,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",44,,Series,"['Lauren Graham', 'Alexis Bledel', 'Keiko Agena', 'Scott Patterson']",
Sky Rojo,2021,Ongoing,"['Action', 'Adventure', 'Crime']",6.5,6940,"Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.",31,,Series,"['Verónica Sánchez', 'Miguel Ángel Silvestre', 'Asier Etxeandia', 'Lali Espósito']",
Lupin,2021,Ongoing,"['Action', 'Crime', 'Drama']",7.5,84428,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",45,,Series,"['Omar Sy', 'Ludivine Sagnier', 'Hervé Pierre', 'Soufiane Guerrab']",
Trollhunters: Rise of the Titans,2021,,"['Animation', 'Action', 'Adventure']",6.9,2353,The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.,104,,,"['Steve Alterman', 'Kay Bess', 'Brian Blessed', 'Vic Chao']","['Johane Matte', 'Francisco Ruiz-Velasco', 'Andrew L. Schmidt']"
Heartland,2007,Ongoing,"['Drama', 'Family']",8.4,11764,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",45,,Series,"['Amber Marshall', 'Shaun Johnston', 'Michelle Morgan', 'Graham Wardle']",
Jurassic Park,1993,,"['Action', 'Adventure', 'Sci-Fi']",8.1,897444,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,127,402.45,,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']",['Steven Spielberg']
Family Guy,1999,2022,"['Animation', 'Comedy']",8.1,312584,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",22,,Series,"['Seth MacFarlane', 'Alex Borstein', 'Seth Green', 'Mila Kunis']",
Daredevil,2015,2018,"['Action', 'Crime', 'Drama']",8.6,374963,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",54,,Series,"['Charlie Cox', ""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']",
Dark,2017,2020,"['Crime', 'Drama', 'Mystery']",8.8,312629,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",60,,Series,"['Louis Hofmann', 'Karoline Eichhorn', 'Lisa Vicari', 'Maja Schöne']",
Boku no hîrô akademia,2016,Ongoing,"['Animation', 'Action', 'Adventure']",8.4,44367,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,24,,Series,"['Daiki Yamashita', 'Nobuhiko Okamoto', 'Ayane Sakura', 'Justin Briner']",
Cobra Kai,2018,Ongoing,"['Action', 'Comedy', 'Drama']",8.6,122268,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",30,,Series,"['Courtney Henggeler', 'Mary Mouser', 'Tanner Buchanan', 'Ralph Macchio']",
Kingdom,2019,Ongoing,"['Action', 'Drama', 'History']",7.1,6388,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""",92,,Series,"['Jun Ji-hyun', 'Si-ah Kim', 'Byeong-eun Park', 'Kyo-hwan Koo']",['Seong-hun Kim']
Gotham,2014,2019,"['Action', 'Crime', 'Drama']",7.8,216458,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,42,,Series,"['Ben McKenzie', 'Jada Pinkett Smith', 'Donal Logue', 'Camren Bicondova']",
Billions,2016,Ongoing,['Drama'],8.4,74094,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",60,,Series,"['Paul Giamatti', 'Damian Lewis', 'Maggie Siff', 'David Costabile']",
Agents of S.H.I.E.L.D.,2013,2020,"['Action', 'Adventure', 'Drama']",7.5,205119,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",45,,Series,"['Clark Gregg', 'Ming-Na Wen', 'Brett Dalton', 'Iain De Caestecker']",
Don't Breathe,2016,,"['Crime', 'Horror', 'Thriller']",7.1,237601,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",88,89.22,,"['Stephen Lang', 'Jane Levy', 'Dylan Minnette', 'Daniel Zovatto']",['Fede Alvarez']
